song_link,difficulty,good/bad
https://api.beatsaver.com/download/key/20193,ExpertPlus,bad
https://api.beatsaver.com/download/key/20191,ExpertPlus,bad
https://api.beatsaver.com/download/key/20190,ExpertPlus,bad
https://api.beatsaver.com/download/key/20188,ExpertPlus,bad
https://api.beatsaver.com/download/key/2018f,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ee57,ExpertPlus,bad
https://api.beatsaver.com/download/key/1fa49,ExpertPlus,bad
https://api.beatsaver.com/download/key/2018e,ExpertPlus,bad
https://api.beatsaver.com/download/key/20189,ExpertPlus,bad
https://api.beatsaver.com/download/key/20187,ExpertPlus,bad
https://api.beatsaver.com/download/key/20185,ExpertPlus,bad
https://api.beatsaver.com/download/key/20183,ExpertPlus,bad
https://api.beatsaver.com/download/key/20182,ExpertPlus,bad
https://api.beatsaver.com/download/key/20180,ExpertPlus,bad
https://api.beatsaver.com/download/key/2017f,ExpertPlus,bad
https://api.beatsaver.com/download/key/20178,ExpertPlus,bad
https://api.beatsaver.com/download/key/20173,ExpertPlus,bad
https://api.beatsaver.com/download/key/20172,ExpertPlus,bad
https://api.beatsaver.com/download/key/20170,ExpertPlus,bad
https://api.beatsaver.com/download/key/20171,ExpertPlus,bad
https://api.beatsaver.com/download/key/20168,ExpertPlus,bad
https://api.beatsaver.com/download/key/20166,ExpertPlus,bad
https://api.beatsaver.com/download/key/20163,ExpertPlus,bad
https://api.beatsaver.com/download/key/20162,ExpertPlus,bad
https://api.beatsaver.com/download/key/20161,ExpertPlus,bad
https://api.beatsaver.com/download/key/20152,ExpertPlus,bad
https://api.beatsaver.com/download/key/2015a,ExpertPlus,bad
https://api.beatsaver.com/download/key/20157,ExpertPlus,bad
https://api.beatsaver.com/download/key/20159,ExpertPlus,bad
https://api.beatsaver.com/download/key/20151,ExpertPlus,bad
https://api.beatsaver.com/download/key/20141,ExpertPlus,bad
https://api.beatsaver.com/download/key/2013d,ExpertPlus,bad
https://api.beatsaver.com/download/key/2011e,ExpertPlus,bad
https://api.beatsaver.com/download/key/20131,ExpertPlus,bad
https://api.beatsaver.com/download/key/20130,ExpertPlus,bad
https://api.beatsaver.com/download/key/2012a,ExpertPlus,bad
https://api.beatsaver.com/download/key/20128,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ffbe,ExpertPlus,bad
https://api.beatsaver.com/download/key/20126,ExpertPlus,bad
https://api.beatsaver.com/download/key/2011a,ExpertPlus,bad
https://api.beatsaver.com/download/key/2011a,ExpertPlus,bad
https://api.beatsaver.com/download/key/20117,ExpertPlus,bad
https://api.beatsaver.com/download/key/2010c,ExpertPlus,bad
https://api.beatsaver.com/download/key/20089,ExpertPlus,bad
https://api.beatsaver.com/download/key/1fe6d,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c7,ExpertPlus,bad
https://api.beatsaver.com/download/key/200dc,ExpertPlus,bad
https://api.beatsaver.com/download/key/200db,ExpertPlus,bad
https://api.beatsaver.com/download/key/200da,ExpertPlus,bad
https://api.beatsaver.com/download/key/200bd,ExpertPlus,bad
https://api.beatsaver.com/download/key/200d8,ExpertPlus,bad
https://api.beatsaver.com/download/key/200d5,ExpertPlus,bad
https://api.beatsaver.com/download/key/200d4,ExpertPlus,bad
https://api.beatsaver.com/download/key/200d3,ExpertPlus,bad
https://api.beatsaver.com/download/key/200d2,ExpertPlus,bad
https://api.beatsaver.com/download/key/1f3d7,ExpertPlus,bad
https://api.beatsaver.com/download/key/1fde2,ExpertPlus,bad
https://api.beatsaver.com/download/key/200ce,ExpertPlus,bad
https://api.beatsaver.com/download/key/200cf,ExpertPlus,bad
https://api.beatsaver.com/download/key/200cd,ExpertPlus,bad
https://api.beatsaver.com/download/key/200cc,ExpertPlus,bad
https://api.beatsaver.com/download/key/20071,ExpertPlus,bad
https://api.beatsaver.com/download/key/200ca,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c8,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c5,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c4,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c1,ExpertPlus,bad
https://api.beatsaver.com/download/key/200c0,ExpertPlus,bad
https://api.beatsaver.com/download/key/200bf,ExpertPlus,bad
https://api.beatsaver.com/download/key/200be,ExpertPlus,bad
https://api.beatsaver.com/download/key/200bc,ExpertPlus,bad
https://api.beatsaver.com/download/key/200b8,ExpertPlus,bad
https://api.beatsaver.com/download/key/200b6,ExpertPlus,bad
https://api.beatsaver.com/download/key/200ac,ExpertPlus,bad
https://api.beatsaver.com/download/key/200ab,ExpertPlus,bad
https://api.beatsaver.com/download/key/200aa,ExpertPlus,bad
https://api.beatsaver.com/download/key/2009a,ExpertPlus,bad
https://api.beatsaver.com/download/key/200a5,ExpertPlus,bad
https://api.beatsaver.com/download/key/200a2,ExpertPlus,bad
https://api.beatsaver.com/download/key/2001e,ExpertPlus,bad
https://api.beatsaver.com/download/key/2001e,ExpertPlus,bad
https://api.beatsaver.com/download/key/2009f,ExpertPlus,bad
https://api.beatsaver.com/download/key/20054,ExpertPlus,bad
https://api.beatsaver.com/download/key/2008c,ExpertPlus,bad
https://api.beatsaver.com/download/key/2008a,ExpertPlus,bad
https://api.beatsaver.com/download/key/2008b,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ffb6,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ffa1,ExpertPlus,bad
https://api.beatsaver.com/download/key/20088,ExpertPlus,bad
https://api.beatsaver.com/download/key/20086,ExpertPlus,bad
https://api.beatsaver.com/download/key/20084,ExpertPlus,bad
https://api.beatsaver.com/download/key/20083,ExpertPlus,bad
https://api.beatsaver.com/download/key/20080,ExpertPlus,bad
https://api.beatsaver.com/download/key/2007b,ExpertPlus,bad
https://api.beatsaver.com/download/key/2007a,ExpertPlus,bad
https://api.beatsaver.com/download/key/20079,ExpertPlus,bad
https://api.beatsaver.com/download/key/2006c,ExpertPlus,bad
https://api.beatsaver.com/download/key/2006b,ExpertPlus,bad
https://api.beatsaver.com/download/key/20069,ExpertPlus,bad
https://api.beatsaver.com/download/key/2005a,ExpertPlus,bad
https://api.beatsaver.com/download/key/20058,ExpertPlus,bad
https://api.beatsaver.com/download/key/20056,ExpertPlus,bad
https://api.beatsaver.com/download/key/20036,ExpertPlus,bad
https://api.beatsaver.com/download/key/20033,ExpertPlus,bad
https://api.beatsaver.com/download/key/20034,ExpertPlus,bad
https://api.beatsaver.com/download/key/20032,ExpertPlus,bad
https://api.beatsaver.com/download/key/2002a,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ff29,ExpertPlus,bad
https://api.beatsaver.com/download/key/20029,ExpertPlus,bad
https://api.beatsaver.com/download/key/20020,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ff9e,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ff9d,ExpertPlus,bad
https://api.beatsaver.com/download/key/1ff9c,ExpertPlus,bad
https://api.beatsaver.com/download/key/20018,ExpertPlus,bad
https://api.beatsaver.com/download/key/20017,ExpertPlus,bad
