song_link,difficulty,good/bad
https://api.beatsaver.com/download/key/2144,ExpertPlus,good
https://api.beatsaver.com/download/key/66e6,ExpertPlus,good
https://api.beatsaver.com/download/key/da60,ExpertPlus,good
https://api.beatsaver.com/download/key/23c3,ExpertPlus,good
https://api.beatsaver.com/download/key/2e9e,ExpertPlus,good
https://api.beatsaver.com/download/key/30fd,ExpertPlus,good
https://api.beatsaver.com/download/key/bd3,ExpertPlus,good
https://api.beatsaver.com/download/key/efe,ExpertPlus,good
https://api.beatsaver.com/download/key/6d96,ExpertPlus,good
https://api.beatsaver.com/download/key/d7fa,ExpertPlus,good
https://api.beatsaver.com/download/key/7a64,ExpertPlus,good
https://api.beatsaver.com/download/key/4a35,ExpertPlus,good
https://api.beatsaver.com/download/key/5616,ExpertPlus,good
https://api.beatsaver.com/download/key/6891,ExpertPlus,good
https://api.beatsaver.com/download/key/5062,ExpertPlus,good
https://api.beatsaver.com/download/key/9a0c,ExpertPlus,good
https://api.beatsaver.com/download/key/3b76,ExpertPlus,good
https://api.beatsaver.com/download/key/56cb,ExpertPlus,good
https://api.beatsaver.com/download/key/195f,ExpertPlus,good
https://api.beatsaver.com/download/key/4a47,ExpertPlus,good
https://api.beatsaver.com/download/key/4858,ExpertPlus,good
https://api.beatsaver.com/download/key/849a,ExpertPlus,good
https://api.beatsaver.com/download/key/2c4f,ExpertPlus,good
https://api.beatsaver.com/download/key/3fd3,ExpertPlus,good
https://api.beatsaver.com/download/key/b7aa,ExpertPlus,good
https://api.beatsaver.com/download/key/9b35,ExpertPlus,good
https://api.beatsaver.com/download/key/4adb,ExpertPlus,good
https://api.beatsaver.com/download/key/11cf8,ExpertPlus,good
https://api.beatsaver.com/download/key/49ae,ExpertPlus,good
https://api.beatsaver.com/download/key/1311,ExpertPlus,good
https://api.beatsaver.com/download/key/1716,ExpertPlus,good
https://api.beatsaver.com/download/key/7b68,ExpertPlus,good
https://api.beatsaver.com/download/key/47f3,ExpertPlus,good
https://api.beatsaver.com/download/key/5d8d,ExpertPlus,good
https://api.beatsaver.com/download/key/3e4,ExpertPlus,good
https://api.beatsaver.com/download/key/46be,ExpertPlus,good
https://api.beatsaver.com/download/key/6ea9,ExpertPlus,good
https://api.beatsaver.com/download/key/ae0e,ExpertPlus,good
https://api.beatsaver.com/download/key/80da,ExpertPlus,good
https://api.beatsaver.com/download/key/a909,ExpertPlus,good
https://api.beatsaver.com/download/key/ce0,ExpertPlus,good
https://api.beatsaver.com/download/key/7c05,ExpertPlus,good
https://api.beatsaver.com/download/key/2db0,ExpertPlus,good
https://api.beatsaver.com/download/key/9c54,ExpertPlus,good
https://api.beatsaver.com/download/key/5925,ExpertPlus,good
https://api.beatsaver.com/download/key/75a8,ExpertPlus,good
https://api.beatsaver.com/download/key/67ba,ExpertPlus,good
https://api.beatsaver.com/download/key/1181f,ExpertPlus,good
https://api.beatsaver.com/download/key/d4a5,ExpertPlus,good
https://api.beatsaver.com/download/key/97ac,ExpertPlus,good
https://api.beatsaver.com/download/key/32d4,ExpertPlus,good
https://api.beatsaver.com/download/key/3694,ExpertPlus,good
https://api.beatsaver.com/download/key/38eb,ExpertPlus,good
https://api.beatsaver.com/download/key/6100,ExpertPlus,good
https://api.beatsaver.com/download/key/129bf,ExpertPlus,good
https://api.beatsaver.com/download/key/8790,ExpertPlus,good
https://api.beatsaver.com/download/key/4d62,ExpertPlus,good
https://api.beatsaver.com/download/key/d00c,ExpertPlus,good
https://api.beatsaver.com/download/key/a465,ExpertPlus,good
https://api.beatsaver.com/download/key/a908,ExpertPlus,good
https://api.beatsaver.com/download/key/4e86,ExpertPlus,good
https://api.beatsaver.com/download/key/1421c,ExpertPlus,good
https://api.beatsaver.com/download/key/2c3e,ExpertPlus,good
https://api.beatsaver.com/download/key/1ff9,ExpertPlus,good
https://api.beatsaver.com/download/key/8115,ExpertPlus,good
https://api.beatsaver.com/download/key/46d4,ExpertPlus,good
https://api.beatsaver.com/download/key/4274,ExpertPlus,good
https://api.beatsaver.com/download/key/8d49,ExpertPlus,good
https://api.beatsaver.com/download/key/9cd2,ExpertPlus,good
https://api.beatsaver.com/download/key/a907,ExpertPlus,good
https://api.beatsaver.com/download/key/1188e,ExpertPlus,good
https://api.beatsaver.com/download/key/4a36,ExpertPlus,good
https://api.beatsaver.com/download/key/44f6,ExpertPlus,good
https://api.beatsaver.com/download/key/a68b,ExpertPlus,good
https://api.beatsaver.com/download/key/238a,ExpertPlus,good
https://api.beatsaver.com/download/key/6adc,ExpertPlus,good
https://api.beatsaver.com/download/key/6b8c,ExpertPlus,good
https://api.beatsaver.com/download/key/80fb,ExpertPlus,good
https://api.beatsaver.com/download/key/21b8,ExpertPlus,good
https://api.beatsaver.com/download/key/5373,ExpertPlus,good
https://api.beatsaver.com/download/key/5efe,ExpertPlus,good
https://api.beatsaver.com/download/key/9956,ExpertPlus,good
https://api.beatsaver.com/download/key/42ea,ExpertPlus,good
https://api.beatsaver.com/download/key/4a3d,ExpertPlus,good
https://api.beatsaver.com/download/key/36bf,ExpertPlus,good
https://api.beatsaver.com/download/key/1ffd,ExpertPlus,good
https://api.beatsaver.com/download/key/4377,ExpertPlus,good
